time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
25385,0.22727000000000008,736,2,95.15,-364.64,65072,269,2.024766445159912,0.0001,,
25180,0.22377875000000003,740,2,96.09,-375.57,65366,275,2.4065592288970947,0.0001,,
25121,0.2231137500000001,744,2,96.73,-416.2,65422,276,35.37690353393555,0.0001,,
24959,0.219955,748,2,95.49,-424.95,65688,280,2.749549388885498,0.0001,,
24915,0.21812624999999997,752,2,95.38,-414.85,65842,283,7.762303829193115,0.0001,,
24797,0.21214124999999995,756,2,93.25,-432.7,66346,292,36.30271911621094,0.0001,,
24582,0.20781875000000005,760,2,91.83,-421.26,66710,299,3.225731611251831,0.0001,,
24494,0.20416125000000007,764,2,90.06,-439.47,67018,304,1.6904594898223877,0.0001,,
24321,0.20100250000000008,768,2,86.92,-436.3,67284,309,3.3743579387664795,0.0001,,
24220,0.19917375000000015,772,2,86.61,-456.0,67438,312,3.2360329627990723,0.0001,,
24074,0.19535000000000013,776,2,90.05,-439.46,67760,317,2.920283317565918,0.0001,,
23972,0.19269000000000003,780,2,88.63,-428.02,67984,321,3.850991725921631,0.0001,,
23854,0.18919874999999997,784,2,87.49,-436.87,68278,327,5.268050193786621,0.0001,,
23561,0.18088625000000014,788,2,87.48,-426.87,68978,339,5.798025131225586,0.0001,,
23214,0.17290625000000004,792,3,88.91,-388.31,69650,351,2.181210517883301,0.0001,,
,0.1689162500000001,,,,,70000,357,63.19529724121094,0.0001,-150.0,150.0
21989,0.16808500000000015,796,3,88.65,-368.04,70056,358,1.7755026817321777,0.0001,,
21262,0.14730375000000007,800,3,87.25,-376.63,71806,390,0.7134219408035278,0.0001,,
21144,0.14381250000000012,804,3,91.11,-400.53,72100,395,1.2779277563095093,0.0001,,
21134,,808,3,91.11,-400.53,72100,,,,,
21127,0.14281500000000003,812,3,91.11,-400.53,72184,396,1.1885826587677002,0.0001,,
21089,0.14098624999999998,816,3,88.06,-447.46,72338,399,3.4683313369750977,0.0001,,
20620,0.12652249999999998,820,3,86.09,-475.46,73556,421,0.20537766814231873,0.0001,,
20421,0.11887500000000006,824,3,87.81,-477.18,74200,432,0.46991026401519775,0.0001,,
20409,,828,3,87.81,-477.18,74200,,,,,
20361,0.11604875000000003,832,3,88.44,-467.82,74438,437,2.376102924346924,0.0001,,
20321,0.11421999999999999,836,3,88.44,-467.82,74592,439,1.0042047500610352,0.0001,,
19995,0.10158500000000015,840,3,90.43,-469.84,75656,458,0.5343259572982788,0.0001,,
19802,0.09393750000000001,844,3,92.46,-451.89,76300,470,2.552722930908203,0.0001,,
19714,0.09111125000000009,848,3,96.21,-425.67,76538,474,0.29593992233276367,0.0001,,
19695,0.08944875000000008,852,3,96.93,-426.39,76678,477,1.3793214559555054,0.0001,,
19470,0.07997250000000011,856,3,99.69,-409.17,77476,491,2.252429485321045,0.0001,,
19209,0.06900000000000006,860,4,104.05,-413.56,78400,507,0.8498442769050598,0.0001,,
19177,0.06633999999999995,864,4,105.55,-415.06,78624,511,0.2325095683336258,0.0001,,
19141,0.06318125000000008,868,4,108.69,-418.23,78890,516,1.0190757513046265,0.0001,,
18966,0.055035000000000056,872,4,110.57,-410.12,79576,528,0.4870557188987732,0.0001,,
18732,0.05,876,4,110.09,-349.64,80430,544,2.5670337677001953,0.0001,,
18703,0.05,880,4,111.34,-390.91,80654,548,0.09685323387384415,0.0001,,
18697,0.05,884,4,114.47,-364.07,80738,549,2.2877745628356934,0.0001,,
18632,0.05,888,4,114.48,-364.08,81144,556,0.5312756896018982,0.0001,,
18393,0.05,892,4,113.75,-363.35,82152,574,0.056533604860305786,0.0001,,
18242,0.05,896,4,117.59,-367.22,82824,586,0.2842206358909607,0.0001,,
18216,0.05,900,4,117.85,-347.5,83048,590,0.30424749851226807,0.0001,,
18158,0.05,904,4,116.71,-316.36,83286,595,0.991721510887146,0.0001,,
17985,0.05,908,4,115.74,-295.38,84098,609,0.4001833200454712,0.0001,,
17925,0.05,912,4,113.67,-283.29,84364,614,0.36309757828712463,0.0001,,
17814,0.05,916,4,119.22,-248.88,84966,625,0.335373193025589,0.0001,,
17757,0.05,920,4,119.65,-169.33,85260,630,1.7989449501037598,0.0001,,
17682,0.05,924,4,121.05,-180.75,85666,637,0.07765531539916992,0.0001,,
17560,0.05,928,4,119.61,-199.29,86366,650,1.5343494415283203,0.0001,,
17506,0.05,932,4,119.45,-199.13,86646,655,34.45380401611328,0.0001,,
17494,0.05,936,4,119.04,-178.71,86828,658,0.6224867105484009,0.0001,,
17488,0.05,940,4,117.12,-156.78,87080,662,34.576438903808594,0.0001,,
17376,0.05,944,5,117.15,-146.82,87668,673,0.32980188727378845,0.0001,,
17260,0.05,948,5,115.87,-155.53,88396,686,0.14326204359531403,0.0001,,
17231,0.05,952,5,115.83,-155.49,88634,690,0.2922801375389099,0.0001,,
17180,0.05,956,5,115.18,-154.84,88970,696,0.4603404402732849,0.0001,,
17068,0.05,960,5,115.31,-144.98,89558,707,0.08602471649646759,0.0001,,
16969,0.05,964,5,112.91,-142.58,90160,717,0.5396853685379028,0.0001,,
16910,0.05,968,5,110.23,-159.88,90496,723,33.77597427368164,0.0001,,
16889,0.05,972,5,111.82,-161.47,90664,726,1.3093773126602173,0.0001,,
16868,0.05,976,5,110.99,-220.64,90944,731,32.74489974975586,0.0001,,
16864,0.05,980,5,111.33,-220.98,91294,738,1.12834632396698,0.0001,,
16763,0.05,984,5,108.49,-238.12,92036,751,0.22853443026542664,0.0001,,
16653,0.05,988,5,110.94,-220.59,92680,762,0.2971690893173218,0.0001,,
16585,0.05,992,5,111.88,-241.54,93044,769,0.17579509317874908,0.0001,,
16522,0.05,996,5,111.75,-211.41,93520,777,1.1495282649993896,0.0001,,
16356,0.05,1000,5,112.07,-181.73,94612,797,0.03753848373889923,0.0001,,
16326,0.05,1004,5,112.06,-181.72,94808,800,1.1455589532852173,0.0001,,
16315,0.05,1008,5,110.07,-189.72,94934,803,1.1271438598632812,0.0001,,
16309,0.05,1012,5,111.47,-211.13,95298,809,0.6918203830718994,0.0001,,
16261,0.05,1016,5,110.35,-220.0,95690,816,0.24504590034484863,0.0001,,
16195,0.05,1020,5,110.62,-290.26,96194,825,0.14078283309936523,0.0001,,
16141,0.05,1024,5,108.72,-308.34,96768,835,32.386234283447266,0.0001,,
16114,0.05,1028,6,108.89,-298.52,97020,840,0.5936256647109985,0.0001,,
16040,0.05,1032,6,107.81,-277.43,97580,850,1.7225607633590698,0.0001,,
16023,0.05,1036,6,110.07,-289.71,97972,857,0.709766149520874,0.0001,,
15994,0.05,1040,6,113.1,-282.75,98294,863,2.2421319484710693,0.0001,,
15963,0.05,1044,6,110.87,-300.5,98658,869,0.8756877183914185,0.0001,,
15852,0.05,1048,6,112.15,-291.79,99680,887,0.05704028904438019,0.0001,,
15814,0.05,1052,6,112.77,-302.4,99988,893,2.3838934898376465,0.0001,,
