time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
48972,0.41845750000000015,92.15,0,72059,-331.61,548,,,,,
49406,0.4133037500000002,91.54,0,72263,-340.99,552,,,,,
49700,0.40981250000000014,91.14,0,72335,-320.58,556,,,,,
50064,0.40549,91.71,0,52321,-321.15,560,0.0001,1,19.54806137084961,,
50302,0.4026637500000001,89.5,0,51180,-308.92,564,0.0001,6,31.07380485534668,,
50484,0.4005025000000001,88.58,1,50440,-267.98,568,0.0001,9,61.7303352355957,,
50736,0.39751000000000003,90.09,1,49576,-229.5,572,0.0001,13,0.8799377083778381,,
50820,0.39651250000000016,87.37,1,49291,-246.76,576,0.0001,15,1.3130414485931396,,
51450,0.38903125000000005,86.94,1,47331,-246.33,580,0.0001,26,52.759483337402344,,
51604,0.3872025,85.25,1,46907,-294.62,584,0.0001,29,57.56373596191406,,
51898,0.38371125000000006,85.45,1,46247,-324.82,588,0.0001,34,1.4557571411132812,,
51996,0.38254750000000004,84.37,1,45966,-243.73,592,0.0001,36,121.61627197265625,,
52122,0.38105125000000006,81.36,1,45632,-290.7,596,0.0001,38,1.2080247402191162,,
52220,0.37988750000000004,79.03,1,45243,-308.35,600,0.0001,40,1.1659977436065674,,
52402,0.37772625000000004,77.96,1,45009,-317.27,604,0.0001,43,1.259657382965088,,
52584,0.37556500000000015,78.31,1,44734,-287.62,608,0.0001,46,32.2182731628418,,
52878,0.37207375,77.42,1,44267,-296.72,612,0.0001,52,0.6781400442123413,,
53354,0.36642125000000014,76.95,1,43402,-336.24,616,0.0001,60,38.13994216918945,,
53480,0.36492499999999994,75.53,1,43161,-294.8,620,0.0001,62,48.09825134277344,,
53928,0.35960500000000006,73.54,1,42594,-282.79,624,0.0001,70,0.9239033460617065,,
54096,0.3576100000000001,69.89,1,42181,-239.12,628,0.0001,73,1.1333047151565552,,
54292,0.35528250000000006,67.34,1,41864,-286.55,632,0.0001,77,97.78548431396484,,
54544,0.3522900000000001,68.37,1,41343,-327.6,636,0.0001,81,40.11778259277344,,
54684,0.3506275,67.7,1,41121,-296.93,640,0.0001,84,2.054739475250244,,
55076,0.3459725000000001,66.05,1,40539,-275.27,644,0.0001,91,0.6916490197181702,,
55538,0.3404862500000001,63.54,1,39938,-252.75,648,0.0001,99,44.782432556152344,,
55776,0.33766000000000007,63.66,1,39681,-222.87,652,0.0001,103,1.796118140220642,,
56042,0.3345012500000001,63.43,1,39204,-242.65,656,0.0001,108,1.2861374616622925,,
56602,0.32785125000000015,62.47,1,38644,-221.68,660,0.0001,118,0.7690801620483398,,
56728,0.32635500000000006,67.59,1,38541,-246.84,664,0.0001,120,0.8257365226745605,,
56966,0.32352875000000003,67.46,1,38312,-296.72,668,0.0001,125,0.9796242713928223,,
57218,0.32053624999999997,66.2,1,38106,-345.44,672,0.0001,129,1.7990431785583496,,
57400,0.3183750000000002,63.76,1,37821,-302.98,676,0.0001,132,24.13147735595703,,
57722,0.31455125000000017,64.19,1,37468,-303.41,680,0.0001,138,1.6411609649658203,,
57946,0.31189125000000006,64.95,1,37271,-264.18,684,0.0001,142,2.197218418121338,,
58044,0.31072750000000005,64.7,1,37144,-263.93,688,0.0001,144,2.566969394683838,,
58156,0.3093975000000001,64.18,1,37011,-323.41,692,0.0001,146,24.972700119018555,,
58464,0.30574,65.54,1,36571,-294.77,696,0.0001,151,1.5455467700958252,,
58744,0.3024150000000002,65.31,1,36309,-284.55,700,0.0001,156,0.6911928057670593,,
59276,0.2960975000000001,65.95,1,35971,-285.19,704,0.0001,166,34.325950622558594,,
59878,0.2889487500000001,67.39,1,35538,-286.63,708,0.0001,177,40.97163391113281,,
60256,0.28446000000000016,69.55,1,35343,-268.81,712,0.0001,183,0.5555621385574341,,
60564,0.2808025000000002,69.11,1,34924,-208.37,716,0.0001,189,35.701454162597656,,
60802,0.27797625000000004,71.84,1,34739,-221.12,720,0.0001,193,0.8881821632385254,,
60956,0.2761475000000001,73.36,1,34544,-232.66,724,0.0001,196,30.88243865966797,,
61222,0.2729887500000001,73.54,1,34168,-292.84,728,0.0001,201,0.4792585074901581,,
61978,0.26401125000000014,75.34,1,33303,-264.64,732,0.0001,214,0.8878682255744934,,
62090,0.26268125,73.5,1,33117,-282.78,736,0.0001,216,0.8372112512588501,,
62566,0.25702875000000014,74.03,1,32528,-313.31,740,0.0001,225,0.7811020612716675,,
62930,0.25270625000000013,75.7,1,32358,-334.99,744,0.0001,231,0.4105639159679413,,
63028,0.2515425000000001,76.02,1,32275,-355.32,748,0.0001,233,24.648712158203125,,
63294,0.24838375000000013,75.85,1,32132,-325.15,752,0.0001,238,0.5240753889083862,,
64078,0.23907375000000008,78.64,2,31237,-287.95,756,0.0001,252,0.12592975795269012,,
64274,0.23674625000000016,79.07,2,31113,-308.39,760,0.0001,255,0.6757047176361084,,
64512,0.23392000000000013,74.58,2,30893,-313.86,764,0.0001,259,1.1388049125671387,,
64694,0.23175875000000012,76.35,2,30759,-305.64,768,0.0001,263,20.28687286376953,,
65086,0.22710375000000005,76.41,2,30590,-295.71,772,0.0001,270,0.2545096278190613,,
65282,0.22477625000000012,80.82,2,30482,-330.15,776,0.0001,273,100.07837677001953,,
66038,0.21579875000000015,81.25,2,29798,-280.57,780,0.0001,287,0.7489053606987,,
66584,0.20931500000000003,84.55,2,29576,-293.89,784,0.0001,296,0.44368410110473633,,
66962,0.20482625,86.34,2,29368,-295.68,788,0.0001,303,1.0491588115692139,,
67116,0.20299750000000005,86.78,2,29292,-286.13,792,0.0001,306,1.3525782823562622,,
67284,0.20100250000000008,88.36,2,29236,-267.73,796,0.0001,309,1.486879587173462,,
67676,0.1963475,86.74,2,28924,-286.09,800,0.0001,316,0.594753623008728,,
67886,0.19385375000000005,86.19,2,28804,-275.55,804,0.0001,320,18.307476043701172,,
68068,0.19169250000000015,83.55,2,28734,-282.9,808,0.0001,323,0.5170364379882812,,
68390,0.18786875000000003,84.4,2,28616,-293.74,812,0.0001,329,0.8103749752044678,,
69146,0.17889125000000017,85.17,2,28203,-344.52,816,0.0001,342,16.522607803344727,,
69580,0.1737375000000001,83.93,2,27926,-373.28,820,0.0001,350,0.782215416431427,,
69776,0.17141000000000006,83.76,2,27765,-373.11,824,0.0001,353,20.39118003845215,,
69986,0.1689162500000001,85.81,2,27564,-375.16,828,0.0001,357,17.376964569091797,,
70000,,,,,,,,,,-150.0,150.0
70154,0.16692125000000002,84.39,2,26473,-363.75,832,0.0001,360,15.552250862121582,,
70896,0.15811000000000008,84.05,2,26106,-343.4,836,0.0001,373,0.7328290939331055,,
71008,0.15677999999999992,82.24,2,26059,-351.58,840,0.0001,375,22.69896125793457,,
71330,0.15295625000000002,79.62,2,26014,-358.95,844,0.0001,381,0.20088577270507812,,
72100,0.14381250000000012,82.21,2,25534,-351.55,848,0.0001,395,0.08949151635169983,,
72632,0.13749500000000014,84.83,2,25381,-364.19,852,0.0001,404,0.17238381505012512,,
73024,0.13284000000000007,84.38,2,25299,-383.75,856,0.0001,411,0.12455248832702637,,
73430,0.12801875000000018,85.15,2,25171,-374.53,860,0.0001,419,2.0907669067382812,,
73808,0.12353000000000014,87.12,2,25119,-336.51,864,0.0001,425,0.4745003879070282,,
74046,0.12070375000000011,83.28,2,25019,-322.65,868,0.0001,430,0.3352317214012146,,
74284,0.11787750000000008,85.62,2,24964,-335.01,872,0.0001,434,0.891044020652771,,
74382,0.11671375000000006,84.13,2,24927,-343.51,876,0.0001,436,0.6368367075920105,,
74844,0.11122750000000015,84.53,3,24685,-393.92,880,0.0001,444,13.25096321105957,,
75096,0.10823500000000008,80.65,3,24624,-410.02,884,0.0001,448,0.7015347480773926,,
75698,0.10108625000000004,81.54,3,24413,-390.93,888,0.0001,459,13.282411575317383,,
76146,0.09576625000000005,82.82,3,24188,-402.2,892,0.0001,467,0.5052409172058105,,
76846,0.08745375,85.33,3,23916,-424.72,896,0.0001,480,0.5714472532272339,,
77196,0.08329750000000014,88.05,3,23829,-407.46,900,0.0001,486,0.3670305907726288,,
77756,0.07664750000000009,91.85,3,23750,-391.28,904,0.0001,496,0.1879294514656067,,
78134,0.07215875000000005,95.12,3,23553,-374.57,908,0.0001,503,34.53818893432617,,
78694,0.06550875000000012,95.3,3,23335,-334.76,912,0.0001,513,0.5497573614120483,,
79380,0.057362500000000094,97.37,3,23187,-326.84,916,0.0001,525,0.7197829484939575,,
79436,0.05669750000000018,97.7,3,23163,-327.17,920,0.0001,526,0.5250415205955505,,
79954,0.050546250000000015,97.44,3,23006,-306.9,924,0.0001,535,0.2618890702724457,,
80500,0.05,100.31,3,22790,-269.81,928,0.0001,545,0.8848942518234253,,
81214,0.05,99.77,3,22451,-309.26,932,0.0001,558,0.5316840410232544,,
81536,0.05,103.4,3,22338,-302.93,936,0.0001,563,0.2459450662136078,,
82054,0.05,107.3,3,22259,-266.87,940,0.0001,573,12.869938850402832,,
82418,0.05,109.99,3,22176,-249.58,944,0.0001,579,0.39587604999542236,,
82600,0.05,106.32,3,22149,-235.89,948,0.0001,582,0.1328720599412918,,
83342,0.05,105.93,3,21866,-265.5,952,0.0001,596,1.031053066253662,,
83482,0.05,103.87,3,21835,-253.42,956,0.0001,598,123.46920013427734,,
83678,0.05,105.25,3,21805,-244.81,960,0.0001,602,0.14728578925132751,,
84532,0.05,107.02,3,21512,-256.6,964,0.0001,617,185.2597198486328,,
85218,0.05,110.85,3,21343,-270.45,968,0.0001,629,0.036180902272462845,,
85414,0.05,107.85,4,21268,-287.43,972,0.0001,633,0.19222939014434814,,
85596,0.05,108.72,4,21251,-278.31,976,0.0001,636,0.8362547755241394,,
85778,0.05,111.19,4,21221,-250.81,980,0.0001,639,0.48636099696159363,,
86534,0.05,113.13,4,20993,-212.76,984,0.0001,653,0.4938030242919922,,
86940,0.05,111.66,4,20934,-221.28,988,0.0001,660,0.06495736539363861,,
87360,0.05,110.41,4,20875,-250.03,992,0.0001,667,33.17765808105469,,
87682,0.05,108.95,4,20791,-258.56,996,0.0001,673,0.8343430161476135,,
87878,0.05,110.55,4,20758,-240.18,1000,0.0001,677,0.2352573573589325,,
88662,0.05,106.69,4,20551,-226.3,1004,0.0001,691,0.42067739367485046,,
89040,0.05,107.56,4,20482,-247.18,1008,0.0001,697,0.1799943745136261,,
89404,0.05,105.31,4,20410,-284.92,1012,0.0001,704,0.558910071849823,,
89782,0.05,105.91,4,20325,-275.53,1016,0.0001,711,0.0919383093714714,,
90790,0.05,108.36,4,20099,-258.0,1020,0.0001,729,13.530823707580566,,
90958,0.05,108.03,4,20048,-287.67,1024,0.0001,732,20.10033416748047,,
91476,0.05,106.6,4,19951,-296.23,1028,0.0001,741,0.2618675231933594,,
91658,0.05,108.46,4,19935,-248.11,1032,0.0001,744,0.0955536812543869,,
92078,0.05,107.26,4,19842,-256.9,1036,0.0001,752,0.5087807178497314,,
92470,0.05,103.94,4,19829,-283.55,1040,0.0001,759,0.33093440532684326,,
92974,0.05,105.35,4,19741,-314.96,1044,0.0001,768,0.33568793535232544,,
93660,0.05,109.37,4,19620,-319.01,1048,0.0001,780,0.9309558868408203,,
93884,0.05,106.76,4,19599,-306.38,1052,0.0001,784,0.311964213848114,,
94360,0.05,110.31,4,19517,-309.96,1056,0.0001,792,0.49913954734802246,,
95046,0.05,108.53,4,19500,-298.16,1060,0.0001,805,32.32914733886719,,
95158,0.05,107.78,4,19477,-327.41,1064,0.0001,807,0.3174442648887634,,
95872,0.05,108.31,4,19448,-287.95,1068,0.0001,819,0.3677505850791931,,
96194,0.05,110.18,4,19383,-279.83,1072,0.0001,825,0.2329387664794922,,
96418,0.05,109.48,4,19333,-289.12,1076,0.0001,829,0.19271248579025269,,
97118,0.05,108.0,5,19202,-297.63,1080,0.0001,842,0.3556220531463623,,
97818,0.05,109.92,5,19051,-319.56,1084,0.0001,854,0.15554571151733398,,
97972,0.05,111.59,5,19034,-321.23,1088,0.0001,857,0.3051242530345917,,
98238,0.05,111.14,5,18984,-310.79,1092,0.0001,862,0.4438278377056122,,
98420,0.05,109.0,5,18972,-328.63,1096,0.0001,865,0.6669615507125854,,
98924,0.05,107.62,5,18867,-337.24,1100,0.0001,874,0.24565750360488892,,
99596,0.05,109.65,5,18740,-359.28,1104,0.0001,886,0.23497486114501953,,
